rating,title,text,asin,parent_asin,user_id,timestamp,helpful_vote,verified_purchase
5.0,Super comfy and exceeded expectations,"Honestly, wasn't expecting much but these shoes are suuuper comfy. I’ve been wearing them to work all week and my feet don’t hurt at all. They look cute too, which is a bonus. Would buy again for sure.",B848924807,B848924807,ASDLF7Q9JX8Z4MTFPLQ1K2YH3WEN,1736391097927,3,False
1.0,Totally disappointed,Arrived broken and missing a piece. I tried to contact support but no help at all. Waste of money tbh.,B162125607,B162125607,AUG1IXF2VEQZN9R7Y3W2Q6B5TLMA,1731886210927,4,True
4.0,Good for the price,Pretty nice quality for what I paid. Not the fanciest but does the job and looks decent.,B511627451,B511627451,AKL9HXOQ48WZG3B7RSPQYZ1F20CE,1720438278927,3,False
3.0,Just okay,"It’s alright, nothing too special. It works but feels a little flimsy. Guess you get what you pay for.",B315217114,B315217114,AM6QZ2K4T1PQ8DC5EFHR3NWI7YJK,1727461237927,5,False
5.0,Perfect for my kitchen remodel,"Absolutely love how this faucet looks in my new kitchen! Install was pretty easy, no leaks or anything. Water pressure is good, and swivels nicely. Would recommend to anyone redoing their kitchen.",B964472931,B964472931,AH2G5P9LQF8X2Z7D6W3KC9JS1TRF,1741776453927,5,False
2.0,Not what I hoped for,"Was hoping these leggings would be a staple, but they’re way too thin and see-through. Not wearable outside the house for me, unfortunately. Gave two stars cause the color is nice.",B159193564,B159193564,AZ3N4Q8V1YBW9KJG2X5L0CR8H6DS,1721100716927,5,True
5.0,My daughter LOVES it,"Bought this for my 10yo and she won’t take it off, lol. Super soft and fits great. Might have to get a second one for backup.",B151799554,B151799554,ABQ9E3P6T2V5C1NZD4H8S7MGRKJL,1709933197927,0,False
4.0,Pretty good overall,"Decent product, works as stated. Took off one star because shipping was slow, but the item itself is solid and does what I need.",B264514173,B264514173,AP5HCQX47R8MZ1NJK2L3Y6WVU9TB,1712645905927,0,False
5.0,Love the color and fit!,These pants fit perfectly and the color is exactly as shown. Stretchy but not too loose. Gonna buy another pair in a different color!,B533934707,B533934707,AD2P3Z4X7Q8C9L1M5R0S6W5JTYHN,1695028822927,5,True
2.0,Not true to size,Ordered my normal size and it was much smaller. Fabric felt kinda scratchy too. Maybe I got a dud but I wouldn’t order again.,B803060191,B803060191,AV8W5K3L1B2M9F6J7S4Q0T2ZXPRD,1741988002927,3,True
5.0,So handy for travel!,Took this on my last trip and it made organizing my stuff SO much easier. Lightweight and surprisingly roomy. Zippers work well. 10/10 would recommend.,B447886631,B447886631,AG3T1V9B4C7X5D6E8J2Q0M1LNFZH,1740451826927,2,False
3.0,It's alright for the price,"I mean, for the cost it’s not bad. Does what it’s supposed to, but feels a bit cheap. Wouldn’t use it for anything heavy duty.",B607902419,B607902419,AX9M7L5G2V1J4E6R3Q8T0Z5HSNPD,1728131069927,4,True
5.0,Exactly what I needed,"I needed a small lamp for my desk and this one is perfect. Super easy to set up, gives off nice light, and looks cute. Happy with my purchase!",B517625648,B517625648,AE7N4K2T8V5C9M1D3J0Q6H2LZRXP,1715097671927,5,False
4.0,Works but kinda loud,This blender works pretty well and crushes ice like a champ but dang it’s loud. Not a deal breaker though. Still use it every day.,B489209232,B489209232,AC5H7J9D2G1X0N8S4M3Q2L6RZPTK,1751131212927,5,True
5.0,Looks great on my shelf,"Love the design of this vase, it’s got a modern vibe. Arrived well packaged. I get compliments every time someone comes over!",B214751301,B214751301,AL1Z6T8G3Q9E4K5N2V7X0C4MSPJD,1723021573927,3,True
1.0,Do not recommend at all,"Honestly, this is probably the worst thing I’ve bought online. Broke after 2 days and customer service never replied. Save your money.",B724491222,B724491222,AU3K6F9Q2T5C1J7V8B4M0Z8GHSPL,1696453403927,3,True
5.0,Great value for money,Didn’t expect much for the price but it’s actually really solid. Does the job and looks good. Def a good buy.,B642816895,B642816895,AO9K1G8N2V5Z4F6X7B3Q0J2LHPWC,1696561220927,5,False
